JPEG2000 image files,00 00 00 0C 6A 50 20 20,Hex,N/A,JP2,Picture
3GPP multimedia files,00 00 00 14 66 74 79 70,Hex,N/A,3GP,Multimedia
3GPP2 multimedia files,00 00 00 20 66 74 79 70,Hex,N/A,3GP,Multimedia
MPEG-4 video files,00 00 00 18 66 74 79 70,Hex,N/A,3GP5,Multimedia
Apple audio and video files,00 00 00 20 66 74 79 70 4D 34 41,Hex,N/A,M4A,Multimedia
Windows icon|printer spool file,00 00 01 00,Hex,N/A,ICO|SPL,Windows
MPEG video file,00 00 01 B3,Hex,N/A,MPG,Multimedia
DVD video file,00 00 01 BA,Hex,N/A,MPG|VOB,Multimedia
Windows cursor,00 00 02 00,Hex,N/A,CUR,Windows
QuattroPro spreadsheet,00 00 02 00,Hex,N/A,WB2,Spreadsheet
Lotus 1-2-3 (v1),00 00 02 00 06 04 06 00,Hex,N/A,WK1,Spreadsheet
Lotus 1-2-3 (v3),00 00 1A 00 00 10 04 00,Hex,N/A,WK3,Spreadsheet
Lotus 1-2-3 (v4|v5),00 00 1A 00 02 10 04 00,Hex,N/A,WK4|WK5,Spreadsheet
Lotus 1-2-3 (v9),00 00 1A 00 05 10 04,Hex,N/A,123,Spreadsheet
Quark Express (Intel),00 00 49 49 58 50 52,Hex,N/A,QXD,Presentation
Quark Express (Motorola),00 00 4D 4D 58 50 52,Hex,N/A,QXD,Presentation
Microsoft Money file,00 01 00 00 4D 53 49 53 41 4D 20 44 61 74 61 62 61 73 65,Hex,N/A,MNY,Miscellaneous
Microsoft Access 2007,00 01 00 00 53 74 61 6E 64 61 72 64 20 41 43 45 20 44 42,Hex,N/A,ACCDB,Database
Microsoft Access,00 01 00 00 53 74 61 6E 64 61 72 64 20 4A 65 74 20 44 42,Hex,N/A,MDB,Database
Palm Address Book Archive,00 01 42 41,Hex,N/A,ABA,Mobile
Palm DateBook Archive,00 01 42 44,Hex,N/A,DBA,Mobile
Netscape Navigator (v4) database,00 06 15 61 00 00 00 02 00 00 04 D2 00 00 10 00,Hex,N/A,DB,Network
FLIC animation,00 11,Hex,N/A,FLI,Miscellaneous
BIOS details in RAM,00 14 00 00 01 02,Hex,N/A,(none),Windows
